id,filtered_words_array,features,label_index
R170,"['view', 'discuss', 'deal.', 'consumer', 'maintain', 'evening', 'leader', 'father', 'reason.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']","(10000,[1020,1526,1800,2227,3614,4506,4687,5247,5286,5375,7293,9462,9470,9475],[2.455405985391302,3.577548771469606,4.42484663185681,2.7200985396183848,1.350685111852877,0.691153161953081,0.6832166123573445,4.42484663185681,3.7316994512968646,4.830311739964974,4.137164559405029,0.691153161953081,5.523458920524919,4.607168188650764])",1.0
F110,"['exactly', 'make', 'police', 'republican.', 'late', 'wish', 'less', 'least', 'group.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']","(10000,[495,503,1195,1634,2096,3079,3486,3525,3876,4921,5850,5966,7268,7281,7936,8338],[4.270695952029551,0.691153161953081,3.7316994512968646,4.137164559405029,4.42484663185681,4.019381523748645,2.849310271098391,4.137164559405029,4.607168188650764,2.849310271098391,0.691153161953081,5.117993812416755,5.117993812416755,0.6832166123573445,0.691153161953081,0.691153161953081])",0.0
F048,"['door', 'yard', 'determine', 'meet', 'including', 'control', 'already.', 'significant', 'measure', 'anyone', 'color', 'begin', 'outside', 'resource.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[424,503,528,666,1208,1513,3892,4847,5850,6484,6747,7281,7334,7734,7936,8338,8552,8568,9181,9832,9940],[3.914021008090819,0.691153161953081,4.270695952029551,4.019381523748645,2.849310271098391,3.914021008090819,2.5530444549552183,4.019381523748645,0.691153161953081,5.523458920524919,2.5530444549552183,0.6832166123573445,4.019381523748645,4.270695952029551,0.691153161953081,0.691153161953081,4.270695952029551,4.270695952029551,4.607168188650764,3.914021008090819,4.42484663185681])",0.0
F082,"['bad', 'hospital', 'sister', 'answer', 'guess', 'there.', 'respond', 'word', 'trip', 'public', 'popular', 'indicate.', 'present', 'forget', 'member', 'perform', 'easy', 'seven.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[503,760,1098,1770,2500,3519,3521,3619,4377,4528,4930,5782,5804,5850,6148,6790,7146,7281,7936,7956,8130,8338,8660,8945],[0.691153161953081,4.137164559405029,3.577548771469606,2.8844015909096608,4.270695952029551,4.42484663185681,3.914021008090819,4.019381523748645,2.60568818844064,5.117993812416755,3.6516567436233283,4.270695952029551,4.830311739964974,0.691153161953081,3.8187108282864943,3.914021008090819,4.270695952029551,0.6832166123573445,0.691153161953081,4.137164559405029,4.270695952029551,0.691153161953081,4.42484663185681,5.523458920524919])",0.0
F187,"['talk', 'ago', 'glass.', 'appear', 'heart', 'message', 'view.', 'space', 'enter', 'account', 'produce', 'relationship', 'gun.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[503,1256,1648,1896,2715,4260,5850,5972,7281,7435,7586,7860,7936,8182,8338,8925,9187,9188,9432,9808],[0.691153161953081,3.125563647726549,4.137164559405029,4.42484663185681,4.137164559405029,4.019381523748645,0.691153161953081,4.830311739964974,0.6832166123573445,4.019381523748645,5.523458920524919,2.849310271098391,0.691153161953081,4.019381523748645,0.691153161953081,4.830311739964974,5.117993812416755,4.270695952029551,3.8187108282864943,4.42484663185681])",0.0
F027,"['fund', 'another', 'dog', 'job', 'particular.', 'writer', 'film', 'likely', 'form', 'million', 'one.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[309,503,557,1256,2466,4638,5003,5621,5850,6906,7281,7860,7936,8166,8338,8633,8651,9564],[4.607168188650764,0.691153161953081,3.914021008090819,3.125563647726549,5.523458920524919,4.42484663185681,3.914021008090819,5.117993812416755,0.691153161953081,5.117993812416755,0.6832166123573445,2.849310271098391,0.691153161953081,4.137164559405029,0.691153161953081,4.830311739964974,3.914021008090819,4.019381523748645])",0.0
F202,"['effort', 'never', 'magazine', 'sound', 'support', 'each.', 'sell', 'someone', 'talk', 'make', 'move', 'action', 'compare.', 'bag', 'color', 'forget', 'song', 'either', 'mention.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[281,415,503,1073,3525,3671,4377,4485,4570,5726,5850,6021,6166,6282,6633,7146,7281,7350,7936,8217,8338,8413,8925,9126,9832],[4.137164559405029,3.8187108282864943,0.691153161953081,4.019381523748645,4.137164559405029,4.607168188650764,2.60568818844064,4.607168188650764,5.523458920524919,3.5085558999826545,0.691153161953081,4.607168188650764,4.137164559405029,4.270695952029551,4.607168188650764,4.270695952029551,0.6832166123573445,4.270695952029551,0.691153161953081,4.270695952029551,0.691153161953081,4.137164559405029,4.830311739964974,4.42484663185681,3.914021008090819])",0.0
F197,"['natural', 'character', 'create', 'door', 'world.', 'opportunity', 'else', 'real', 'current', 'policy.', 'financial', 'sound', 'training.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[503,1404,2764,3892,4847,4867,4988,5034,5850,6166,6287,6747,6944,6976,7281,7407,7936,8338,9189,9691],[0.691153161953081,4.019381523748645,5.117993812416755,2.5530444549552183,4.019381523748645,4.42484663185681,3.8187108282864943,4.607168188650764,0.691153161953081,4.137164559405029,4.019381523748645,2.5530444549552183,2.7826188965997183,4.607168188650764,0.6832166123573445,4.270695952029551,0.691153161953081,0.691153161953081,4.607168188650764,4.270695952029551])",0.0
R128,"['knowledge', 'game', 'fact', 'already.', 'development', 'phone', 'either', 'level', 'thing.', 'whatever', 'dark', 'still.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[697,821,1499,1626,1649,2059,2735,2871,3614,4506,4687,7215,7695,7864,8975,9126,9181,9462],[4.42484663185681,2.849310271098391,4.019381523748645,4.270695952029551,4.607168188650764,2.7200985396183848,5.117993812416755,4.270695952029551,0.6753425559264385,0.691153161953081,0.6832166123573445,4.42484663185681,3.8187108282864943,3.914021008090819,4.019381523748645,4.42484663185681,4.607168188650764,0.691153161953081])",1.0
F157,"['card', 'resource', 'pretty', 'clear', 'pressure', 'turn', 'material.', 'phone', 'first', 'free', 'act.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']","(10000,[503,1073,1611,1626,1670,2141,2144,2259,3886,3919,5616,5661,5850,6403,7281,7936,8338,9813],[0.691153161953081,4.019381523748645,4.019381523748645,4.270695952029551,4.270695952029551,5.117993812416755,4.42484663185681,2.8154087194227095,4.607168188650764,4.42484663185681,5.523458920524919,4.137164559405029,0.691153161953081,4.137164559405029,0.6832166123573445,0.691153161953081,0.691153161953081,2.997730276216664])",0.0
F117,"['sometimes', 'stage', 'impact', 'draw', 'reason.', 'pay', 'difficult.', 'conference', 'oil', 'mention', 'really', 'wonder.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[30,503,1972,2907,4112,4377,4897,5375,5657,5850,5869,6035,7281,7337,7936,8167,8338,8509],[3.914021008090819,0.691153161953081,5.117993812416755,4.42484663185681,4.607168188650764,2.60568818844064,3.577548771469606,4.830311739964974,4.019381523748645,0.691153161953081,4.42484663185681,3.4440173788450834,0.6832166123573445,5.117993812416755,0.691153161953081,3.914021008090819,0.691153161953081,5.117993812416755])",0.0
F173,"['group', 'anyone', 'likely', 'ground', 'enter', 'type', 'character.', 'science', 'sure', 'around', 'seem', 'brother', 'entire.', 'step', 'camera', 'star', 'second.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[190,291,309,503,656,666,1558,1650,1821,2588,3363,3526,3892,5170,5850,6197,6487,6747,7281,7435,7766,7936,8338,8530],[5.523458920524919,4.270695952029551,4.607168188650764,0.691153161953081,4.607168188650764,4.019381523748645,4.830311739964974,4.019381523748645,4.607168188650764,4.270695952029551,3.4440173788450834,4.270695952029551,2.5530444549552183,4.270695952029551,0.691153161953081,4.270695952029551,3.8187108282864943,2.5530444549552183,0.6832166123573445,4.019381523748645,4.137164559405029,0.691153161953081,0.691153161953081,5.523458920524919])",0.0
F024,"['option', 'similar', 'may', 'age', 'american', 'mission', 'add', 'expect.', 'seat', 'see', 'difficult', 'agency.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[47,503,650,1051,1712,5354,5850,6069,7046,7281,7652,7936,8219,8338,8791,9160,9613,9887],[4.42484663185681,0.691153161953081,2.958509563063383,5.523458920524919,4.270695952029551,4.270695952029551,0.691153161953081,3.7316994512968646,4.019381523748645,0.6832166123573445,4.137164559405029,0.691153161953081,5.523458920524919,0.691153161953081,4.830311739964974,4.137164559405029,4.270695952029551,5.117993812416755])",0.0
F096,"['hospital', 'put', 'assume.', 'race', 'admit', 'chair', 'realize.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']","(10000,[454,503,681,2710,3486,4921,4930,5850,7281,7936,8338,8550,8714,8871],[3.914021008090819,0.691153161953081,4.42484663185681,4.830311739964974,2.849310271098391,2.849310271098391,3.6516567436233283,0.691153161953081,0.6832166123573445,0.691153161953081,0.691153161953081,5.117993812416755,4.830311739964974,4.019381523748645])",0.0
R247,"['election', 'reach', 'somebody', 'appear', 'consider', 'across', 'issue.', 'clear', 'whole', 'rather', 'design', 'these.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[132,312,627,1611,1770,2837,3089,3378,3614,3922,4506,4687,5678,6219,7074,8182,8386,9462],[4.019381523748645,4.019381523748645,4.019381523748645,4.019381523748645,2.8844015909096608,3.8187108282864943,5.117993812416755,4.830311739964974,0.6753425559264385,4.019381523748645,0.691153161953081,0.6832166123573445,5.117993812416755,3.125563647726549,3.0811118851557153,4.019381523748645,4.270695952029551,0.691153161953081])",1.0
F226,"['sort', 'choose', 'page', 'better', 'range', 'cause', 'state.', 'century', 'enjoy', 'good', 'low', 'attorney', 'site', 'word', 'air.', 'effect', 'plan', 'identify', 'enough', 'both.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']","(10000,[165,316,503,1805,1918,2259,2543,2827,3519,3967,4748,4853,5720,5850,5891,6123,6168,6324,7281,7841,7936,8338,8411,8506,8929,9706,9813],[4.607168188650764,3.914021008090819,0.691153161953081,4.607168188650764,4.830311739964974,2.8154087194227095,4.019381523748645,4.137164559405029,4.42484663185681,4.137164559405029,4.270695952029551,4.270695952029551,3.7316994512968646,0.691153161953081,4.607168188650764,4.607168188650764,4.019381523748645,4.019381523748645,0.6832166123573445,4.137164559405029,0.691153161953081,0.691153161953081,3.6516567436233283,4.830311739964974,5.117993812416755,4.137164559405029,2.997730276216664])",0.0
F100,"['forward', 'every', 'important', 'play', 'international.', 'reveal', 'walk', 'industry', 'under.', '—', 'shocking', 'claims', 'flat', 'earth', 'surface', 'internet.']","(10000,[503,1507,1967,2173,2886,2918,3010,5850,6142,7281,7936,8338,8411,9676,9681,9782],[0.691153161953081,4.019381523748645,4.830311739964974,4.270695952029551,5.523458920524919,3.0385522707369192,3.6516567436233283,0.691153161953081,4.270695952029551,0.6832166123573445,0.691153161953081,0.691153161953081,3.6516567436233283,3.0385522707369192,3.5085558999826545,5.117993812416755])",0.0
F246,"['tax', 'official', 'visit', 'movie', 'manage.', 'offer', 'certain', 'plant', 'standard', 'risk', 'although', 'none', 'friend.', 'middle', 'pretty', 'design', 'behavior', 'must', 'sell.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']","(10000,[503,698,735,1023,1310,1439,2259,2483,2958,2967,3228,3919,3922,5850,6587,7244,7281,7779,7936,8338,8485,8794,9288,9813,9831,9878],[0.691153161953081,4.42484663185681,4.270695952029551,3.8187108282864943,4.830311739964974,3.577548771469606,2.8154087194227095,4.607168188650764,4.019381523748645,4.607168188650764,4.830311739964974,4.42484663185681,4.019381523748645,0.691153161953081,4.019381523748645,3.577548771469606,0.6832166123573445,4.137164559405029,0.691153161953081,0.691153161953081,4.019381523748645,4.270695952029551,4.270695952029551,2.997730276216664,4.137164559405029,4.270695952029551])",0.0
F183,"['parent', 'card', 'big', 'what.', 'owner', 'represent', 'maintain', 'surface', 'although.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,2144,3048,5247,5850,6053,6852,7281,7936,8338,8363,8717,9932],[0.691153161953081,2.958509563063383,4.42484663185681,4.270695952029551,4.42484663185681,0.691153161953081,3.577548771469606,5.117993812416755,1.366433224714689,0.691153161953081,0.691153161953081,4.830311739964974,3.914021008090819,4.42484663185681])",0.0
R063,"['wear', 'environmental', 'race', 'shoulder', 'reality', 'nice.', 'anything', 'happy', 'standard', 'writer', 'player.', 'also', 'good', 'star.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[454,680,2114,2263,2967,3614,3792,4506,4687,5347,6027,6097,6168,6581,6756,6906,6944,8780,9462],[3.914021008090819,4.137164559405029,4.830311739964974,4.830311739964974,4.607168188650764,0.6753425559264385,4.42484663185681,0.691153161953081,0.6832166123573445,4.137164559405029,4.137164559405029,5.523458920524919,4.019381523748645,4.270695952029551,3.914021008090819,5.117993812416755,2.7826188965997183,5.523458920524919,0.691153161953081])",1.0
R005,"['follow', 'particular', 'develop', 'month', 'home.', 'spring', 'pay', 'issue', 'break', 'southern', 'create', 'special.', 'media', 'life', 'difficult', 'soon', 'whole', 'both.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[627,668,1041,1209,1241,1404,1644,1712,3477,3556,3614,3743,4506,4687,4897,5118,5741,5861,6616,8506,8984,9367,9462],[4.019381523748645,4.019381523748645,3.577548771469606,4.42484663185681,4.019381523748645,4.019381523748645,4.137164559405029,4.270695952029551,4.137164559405029,2.849310271098391,0.6753425559264385,4.42484663185681,0.691153161953081,0.6832166123573445,3.577548771469606,4.607168188650764,4.270695952029551,4.830311739964974,4.137164559405029,4.830311739964974,4.137164559405029,4.019381523748645,0.691153161953081])",1.0
R084,"['prove', 'water', 'station.', 'upon', 'ready', 'sell', 'carry', 'size', 'begin.', 'position', 'beyond', 'score.', 'whatever', 'room', 'nation', 'way', 'trial', 'wide.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[454,494,1290,1339,2589,3192,3410,3556,3614,4014,4321,4485,4506,4687,5214,6557,6735,7195,7274,7695,8900,9391,9462],[3.914021008090819,4.019381523748645,5.117993812416755,4.137164559405029,3.383392757028649,4.42484663185681,3.914021008090819,2.849310271098391,0.6753425559264385,4.137164559405029,4.607168188650764,4.607168188650764,0.691153161953081,0.6832166123573445,4.42484663185681,3.8187108282864943,4.42484663185681,5.117993812416755,5.117993812416755,3.8187108282864943,4.42484663185681,3.7316994512968646,0.691153161953081])",1.0
R124,"['piece', 'however', 'apply', 'reach', 'man', 'mean', 'picture.', 'media', 'race', 'source', 'leader', 'stay', 'education.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[433,454,909,911,1209,1526,2569,2887,3133,3614,4506,4687,5047,7312,7721,8386,9462],[4.137164559405029,3.914021008090819,4.42484663185681,4.607168188650764,4.42484663185681,3.577548771469606,3.6516567436233283,5.523458920524919,4.019381523748645,0.6753425559264385,0.691153161953081,0.6832166123573445,5.21137637688128,4.42484663185681,4.137164559405029,4.270695952029551,0.691153161953081])",1.0
R118,"['minute', 'whether', 'town.', 'away', 'heart', 'rule', 'room', 'teacher', 'box', 'argue.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[343,494,3357,3406,3614,3737,4506,4687,6278,7066,7509,7922,8708,9462,9808],[4.137164559405029,4.019381523748645,3.577548771469606,3.914021008090819,0.6753425559264385,3.914021008090819,0.691153161953081,0.6832166123573445,5.523458920524919,2.849310271098391,5.117993812416755,3.8187108282864943,3.5085558999826545,0.691153161953081,4.42484663185681])",1.0
F001,"['fly', 'reach', 'focus', 'drug', 'wind', 'simply.', 'provide', 'involve', 'growth', 'today.', 'tree', 'hold', 'half', 'special.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[320,503,650,816,1780,2389,2558,3882,3931,5118,5850,5871,5944,5946,6271,7281,7860,7936,8338,8386],[4.137164559405029,0.691153161953081,2.958509563063383,5.523458920524919,3.7316994512968646,4.42484663185681,4.42484663185681,4.830311739964974,3.914021008090819,4.607168188650764,0.691153161953081,4.607168188650764,4.019381523748645,4.019381523748645,4.137164559405029,0.6832166123573445,2.849310271098391,0.691153161953081,0.691153161953081,4.270695952029551])",0.0
F007,"['financial', 'care.', 'whose', 'laugh', 'meet', 'place', 'trade', 'low.', 'model', 'able', 'born', 'dark', 'direction', 'fact', 'guess.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']","(10000,[419,503,697,2066,3496,5390,5850,6390,7098,7102,7215,7255,7281,7407,7936,8338,8546,8554,9539,9545,9876,9940],[4.42484663185681,0.691153161953081,4.42484663185681,2.7508701982851385,3.6516567436233283,5.117993812416755,0.691153161953081,3.914021008090819,4.270695952029551,4.019381523748645,4.42484663185681,5.523458920524919,0.6832166123573445,4.270695952029551,0.691153161953081,0.691153161953081,5.117993812416755,4.830311739964974,4.607168188650764,4.42484663185681,2.7508701982851385,4.42484663185681])",0.0
F046,"['wear', 'produce', 'spend', 'address', 'evening.', 'rich', 'probably', 'structure', 'rock', 'dream', 'continue', 'view.', 'really', 'inside', 'want', 'always.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[353,503,574,743,1208,1648,2297,2366,2996,3184,4011,4112,4454,5850,5972,6212,6581,6816,7281,7712,7936,8338,9066],[4.019381523748645,0.691153161953081,4.270695952029551,3.6516567436233283,2.849310271098391,4.137164559405029,4.137164559405029,4.137164559405029,3.6516567436233283,2.7826188965997183,4.830311739964974,4.607168188650764,3.914021008090819,0.691153161953081,4.830311739964974,4.270695952029551,4.270695952029551,4.830311739964974,0.6832166123573445,4.607168188650764,0.691153161953081,0.691153161953081,4.42484663185681])",0.0
R103,"['find', 'serve', 'provide', 'year', 'street.', 'spring', 'image', 'century.', 'tonight', 'matter', 'manager', 'along.', 'painting', 'recently', 'message.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[1034,1644,1652,1725,1766,2034,2402,2788,3389,3614,4506,4687,5303,5946,7055,7066,7510,8899,9372,9462],[4.137164559405029,4.137164559405029,4.137164559405029,4.137164559405029,4.607168188650764,4.270695952029551,4.270695952029551,5.523458920524919,4.42484663185681,0.6753425559264385,0.691153161953081,0.6832166123573445,4.830311739964974,4.019381523748645,5.523458920524919,2.849310271098391,3.914021008090819,4.270695952029551,4.42484663185681,0.691153161953081])",1.0
R037,"['world', 'fine', 'wind', 'every', 'future.', 'film', 'citizen', 'market', 'sometimes', 'several.', 'result', 'hard', 'method', 'consider', 'technology', 'member', 'send.', 'top', 'mention', 'once.', 'experts', 'discuss', 'ongoing', 'developments', 'budget', 'report.']","(10000,[8,74,312,399,1020,2558,2657,2907,3614,4506,4687,4991,5003,5125,5328,5432,5869,5952,6015,6431,6790,8547,8692,9360,9462,9681],[4.607168188650764,4.830311739964974,4.019381523748645,4.270695952029551,2.455405985391302,4.42484663185681,3.4440173788450834,4.42484663185681,0.6753425559264385,0.691153161953081,0.6832166123573445,2.60568818844064,3.914021008090819,4.137164559405029,3.577548771469606,2.7508701982851385,4.42484663185681,4.830311739964974,4.270695952029551,4.137164559405029,3.914021008090819,4.830311739964974,5.117993812416755,4.42484663185681,0.691153161953081,3.5085558999826545])",1.0
F193,"['type', 'west', 'food.', 'care', 'travel', 'specific.', 'late', 'throughout', 'body.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[264,503,3079,3526,3892,4085,5085,5310,5726,5850,5948,6747,7281,7936,8338,8681],[4.830311739964974,0.691153161953081,4.019381523748645,4.270695952029551,2.5530444549552183,5.117993812416755,3.5085558999826545,4.019381523748645,3.5085558999826545,0.691153161953081,4.137164559405029,2.5530444549552183,0.6832166123573445,0.691153161953081,0.691153161953081,4.270695952029551])",0.0
R166,"['billion', 'try', 'space', 'thus.', 'seek', 'state', 'debate', 'argue', 'market', 'follow.', 'require', 'sing', 'general', 'others', 'dog', 'across', 'project.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[171,258,1808,2657,2849,3556,3614,3730,4506,4687,4693,5101,5465,6451,6940,7074,7870,8276,8449,9188,9462,9564],[4.137164559405029,4.137164559405029,4.137164559405029,3.4440173788450834,5.523458920524919,2.849310271098391,0.6753425559264385,4.270695952029551,0.691153161953081,0.6832166123573445,3.914021008090819,5.523458920524919,3.7316994512968646,3.577548771469606,3.8187108282864943,3.0811118851557153,4.137164559405029,4.42484663185681,4.137164559405029,4.270695952029551,0.691153161953081,4.019381523748645])",1.0
F017,"['personal', 'campaign', 'top', 'prove.', 'dog', 'wish', 'wait', 'side.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']","(10000,[495,503,2066,3924,5105,5328,5477,5850,6675,7281,7936,7939,8338,9564,9876],[4.270695952029551,0.691153161953081,2.7508701982851385,4.137164559405029,4.830311739964974,3.577548771469606,5.117993812416755,0.691153161953081,4.607168188650764,0.6832166123573445,0.691153161953081,4.137164559405029,0.691153161953081,4.019381523748645,2.7508701982851385])",0.0
